,PlanetIdentifier,TypeFlag,PlanetaryMassJpt,RadiusJpt,PeriodDays,SemiMajorAxisAU,Eccentricity,PeriastronDeg,LongitudeDeg,AscendingNodeDeg,InclinationDeg,SurfaceTempK,AgeGyr,DiscoveryMethod,DiscoveryYear,LastUpdated,RightAscension,Declination,DistFromSunParsec,HostStarMassSlrMass,HostStarRadiusSlrRad,HostStarMetallicity,HostStarTempK,HostStarAgeGyr,ListsPlanetIsOn,RA,DEC,DistFromEarthParsec
1574,Kepler-379 b,0,,0.15128,20.09838,,,,,,,,,transit,2014.0,14/02/26,19 42 48,+38 56 44,758.7,1.11,1.306,,6054.0,,Confirmed planets,295.7,584.1833333333333,758.7000044312456
1575,Kepler-272 b,0,,0.13032,2.9713529999999997,,,,,,,,,transit,2014.0,14/02/26,19 56 30,+47 35 37,758.79,0.79,0.929,,5297.0,,Confirmed planets,299.125,713.9041666666667,758.7900027394586
1576,Kepler-272 c,0,,0.16312000000000001,6.057342,,,,,,,,,transit,2014.0,14/02/26,19 56 30,+47 35 37,758.79,0.79,0.929,,5297.0,,Confirmed planets,299.125,713.9041666666667,758.7900027394586
1577,Kepler-272 d,0,,0.20504,10.937304,,,,,,,,,transit,2014.0,14/02/26,19 56 30,+47 35 37,758.79,0.79,0.929,,5297.0,,Confirmed planets,299.125,713.9041666666667,758.7900027394586
1578,TYC 1422-614-1 c,0,10.0,,559.3,1.37,0.048,,,,,,,RV,2014.0,14/10/22,10 17 06.674,+19 33 30.47,759.0,1.15,6.85,0.15,4806.0,9.77,Confirmed planets,154.27780833333333,293.37695833333333,759.0000016185983
1579,TYC 1422-614-1 b,0,2.5,,198.4,0.69,0.06,,,,,,,RV,2014.0,14/10/22,10 17 06.674,+19 33 30.47,759.0,1.15,6.85,0.15,4806.0,9.77,Confirmed planets,154.27780833333333,293.37695833333333,759.0000016185983
1580,Kepler-373 c,0,,0.113,16.725948000000002,,,,,,,,,transit,2014.0,14/02/26,19 17 33,+50 35 49,763.85,0.978,0.845,,5787.0,,Confirmed planets,289.3875,758.9541666666667,763.8500011640249
1581,Kepler-373 b,0,,0.12394000000000001,5.535309,,,,,,,,,transit,2014.0,14/02/26,19 17 33,+50 35 49,763.85,0.978,0.845,,5787.0,,Confirmed planets,289.3875,758.9541666666667,763.8500011640249
1582,CoRoT-29 b,0,0.85,0.9,2.8505700000000003,0.039,0.08199999999999999,,,,87.3,,,transit,2015.0,15/04/07,18 35 36.50,+06 28 46.99,765.0,0.97,0.9,0.2,5260.0,4.5,Confirmed planets,278.90208333333334,97.19579166666666,765.000003639835
1583,Kepler-368 b,0,,0.29708,26.84768,,,,,,,,,transit,2014.0,14/02/26,19 27 31,+45 23 16,765.99,0.97,2.019,,5502.0,,Confirmed planets,291.87916666666666,680.8166666666667,765.9900028560612
1584,Kepler-368 c,0,,0.35359,72.379334,,,,,,,,,transit,2014.0,14/02/26,19 27 31,+45 23 16,765.99,0.97,2.019,,5502.0,,Confirmed planets,291.87916666666666,680.8166666666667,765.9900028560612
1585,NGC 2423 3 b,0,10.6,,714.3,2.1,0.21,,,,,417.4,,RV,2007.0,07/11/27,07 37 09,-13 54 24,766.0,2.4,,0.14,5700.0,,"Confirmed planets, Planets in open clusters",114.2875,-13.966666666666667,766.0000003056056
1586,Kepler-320 c,0,,0.12485,17.934936999999998,,,,,,,,,transit,2014.0,14/02/26,19 32 51,+46 10 30,767.15,1.18,1.1079999999999999,,6435.0,,Confirmed planets,293.2125,692.625,767.1499997660782
1587,Kepler-320 b,0,,0.10389000000000001,8.371554,,,,,,,,,transit,2014.0,14/02/26,19 32 51,+46 10 30,767.15,1.18,1.1079999999999999,,6435.0,,Confirmed planets,293.2125,692.625,767.1499997660782
1588,Kepler-246 c,0,,0.1367,11.187161,,,,,,,,,transit,2014.0,14/02/26,19 45 56,+42 39 48,768.87,0.759,0.831,,5206.0,,Confirmed planets,296.48333333333335,639.95,768.8700011137489
